datetime,ESIROI_IUT2_GF
2021-06-16 00:20:00+04:00,1.404
2021-06-16 00:30:00+04:00,1.536
2021-06-16 00:40:00+04:00,0.972
2021-06-16 00:50:00+04:00,1.212
2021-06-16 01:00:00+04:00,1.884
2021-06-16 01:10:00+04:00,0.972
2021-06-16 01:20:00+04:00,1.152
2021-06-16 01:30:00+04:00,1.824
2021-06-16 01:40:00+04:00,0.972
2021-06-16 01:50:00+04:00,1.272
2021-06-16 02:00:00+04:00,1.764
2021-06-16 02:10:00+04:00,0.972
2021-06-16 02:20:00+04:00,1.284
2021-06-16 02:30:00+04:00,1.752
2021-06-16 02:40:00+04:00,0.972
2021-06-16 02:50:00+04:00,1.344
2021-06-16 03:00:00+04:00,1.632
2021-06-16 03:10:00+04:00,0.984
2021-06-16 03:20:00+04:00,1.452
2021-06-16 03:30:00+04:00,1.584
2021-06-16 03:40:00+04:00,0.972
2021-06-16 03:50:00+04:00,1.512
2021-06-16 04:00:00+04:00,1.524
2021-06-16 04:10:00+04:00,0.912
2021-06-16 04:20:00+04:00,1.032
2021-06-16 04:30:00+04:00,2.064
2021-06-16 04:40:00+04:00,1.272
2021-06-16 04:50:00+04:00,0.972
2021-06-16 05:00:00+04:00,1.764
2021-06-16 05:10:00+04:00,1.272
2021-06-16 05:20:00+04:00,0.972
2021-06-16 05:30:00+04:00,1.884
2021-06-16 05:40:00+04:00,1.38
2021-06-16 05:50:00+04:00,1.128
2021-06-16 06:00:00+04:00,2.1
2021-06-16 06:10:00+04:00,1.188
2021-06-16 06:20:00+04:00,1.14
2021-06-16 06:30:00+04:00,2.16
2021-06-16 06:40:00+04:00,1.188
2021-06-16 06:50:00+04:00,1.14
2021-06-16 07:00:00+04:00,2.208
2021-06-16 07:10:00+04:00,1.08
2021-06-16 07:20:00+04:00,1.128
2021-06-16 07:30:00+04:00,2.22
2021-06-16 07:40:00+04:00,1.128
2021-06-16 07:50:00+04:00,1.128
2021-06-16 08:00:00+04:00,2.208
2021-06-16 08:10:00+04:00,1.068
2021-06-16 08:20:00+04:00,1.14
2021-06-16 08:30:00+04:00,1.908
2021-06-16 08:40:00+04:00,1.188
2021-06-16 08:50:00+04:00,2.088
2021-06-16 09:00:00+04:00,1.368
2021-06-16 09:10:00+04:00,1.14
2021-06-16 09:20:00+04:00,1.668
2021-06-16 09:30:00+04:00,2.34
2021-06-16 09:40:00+04:00,1.128
2021-06-16 09:50:00+04:00,1.14
2021-06-16 10:00:00+04:00,2.208
2021-06-16 10:10:00+04:00,1.14
2021-06-16 10:20:00+04:00,1.14
2021-06-16 10:30:00+04:00,2.148
2021-06-16 10:40:00+04:00,2.34
2021-06-16 10:50:00+04:00,1.548
2021-06-16 11:00:00+04:00,1.14
