datetime,Dpt_1_2,Dpt_3_4,ENERPOS,Total
2021-01-01 00:00:00+04:00,18,21,0,39
2021-01-01 00:10:00+04:00,19,19,0,38
2021-01-01 00:20:00+04:00,16,18,1,35
2021-01-01 00:30:00+04:00,10,27,0,37
2021-01-01 00:40:00+04:00,27,18,0,45
2021-01-01 00:50:00+04:00,13,21,0,34
2021-01-01 01:00:00+04:00,13,24,0,37
2021-01-01 01:10:00+04:00,17,22,1,40
2021-01-01 01:20:00+04:00,20,18,1,39
2021-01-01 01:30:00+04:00,17,18,0,35
2021-01-01 01:40:00+04:00,6,27,1,34
2021-01-01 01:50:00+04:00,25,19,1,45
2021-01-01 02:00:00+04:00,16,19,0,35
2021-01-01 02:10:00+04:00,14,22,0,36
2021-01-01 02:20:00+04:00,18,22,0,40
2021-01-01 02:30:00+04:00,18,18,1,37
2021-01-01 02:40:00+04:00,14,19,0,33
2021-01-01 02:50:00+04:00,9,25,0,34
2021-01-01 03:00:00+04:00,24,16,1,41
2021-01-01 03:10:00+04:00,13,19,1,33
2021-01-01 03:20:00+04:00,15,21,0,36
2021-01-01 03:30:00+04:00,16,22,0,38
2021-01-01 03:40:00+04:00,18,18,1,37
2021-01-01 03:50:00+04:00,15,19,1,35
2021-01-01 04:00:00+04:00,10,25,1,36
2021-01-01 04:10:00+04:00,23,19,1,43
2021-01-01 04:20:00+04:00,13,22,1,36
2021-01-01 04:30:00+04:00,18,19,1,38
2021-01-01 04:40:00+04:00,11,24,1,36
2021-01-01 04:50:00+04:00,23,18,1,42
2021-01-01 05:00:00+04:00,17,19,1,37
2021-01-01 05:10:00+04:00,10,25,0,35
2021-01-01 05:20:00+04:00,23,18,1,42
2021-01-01 05:30:00+04:00,13,21,1,35
2021-01-01 05:40:00+04:00,18,18,1,37
2021-01-01 05:50:00+04:00,10,25,1,36
2021-01-01 06:00:00+04:00,24,19,1,44
2021-01-01 06:10:00+04:00,16,18,1,35
2021-01-01 06:20:00+04:00,14,21,1,36
2021-01-01 06:30:00+04:00,13,24,0,37
2021-01-01 06:40:00+04:00,20,21,0,41
2021-01-01 06:50:00+04:00,18,19,0,37
2021-01-01 07:00:00+04:00,11,25,0,36
2021-01-01 07:10:00+04:00,25,18,0,43
2021-01-01 07:20:00+04:00,14,19,1,34
2021-01-01 07:30:00+04:00,12,22,0,34
2021-01-01 07:40:00+04:00,13,24,0,37
2021-01-01 07:50:00+04:00,21,19,0,40
2021-01-01 08:00:00+04:00,18,18,0,36
2021-01-01 08:10:00+04:00,10,25,0,35
2021-01-01 08:20:00+04:00,19,21,0,40
2021-01-01 08:30:00+04:00,16,18,1,35
2021-01-01 08:40:00+04:00,7,27,0,34
2021-01-01 08:50:00+04:00,20,21,0,41
